scenario,task_count,model,workers,label,repeats,duration_seconds_median,duration_seconds_mean,duration_seconds_min,duration_seconds_max,throughput_tasks_per_second_median,throughput_tasks_per_second_mean,throughput_tasks_per_second_min,throughput_tasks_per_second_max,peak_extra_python_threads_median,peak_extra_python_threads_mean,peak_extra_python_threads_min,peak_extra_python_threads_max,peak_rss_delta_mb_median,peak_rss_delta_mb_mean,peak_rss_delta_mb_min,peak_rss_delta_mb_max,peak_tracemalloc_mb_median,peak_tracemalloc_mb_mean,peak_tracemalloc_mb_min,peak_tracemalloc_mb_max,completed_tasks_median,completed_tasks_mean,completed_tasks_min,completed_tasks_max
tcp_io,100,threads,50,threads-tcp-50,5,0.1350800000000163,0.1405573000003642,0.12156559999857564,0.16894040000261157,740.30204323355,722.5281259610553,591.924726107279,822.6011305926321,50.0,48.6,45.0,50.0,3.328125,2.95234375,0.8046875,4.20703125,3.1698408126831055,3.1678888320922853,3.017746925354004,3.3468809127807617,100.0,100.0,100.0,100.0
tcp_io,100,threads,100,threads-tcp-100,5,0.13070499999957974,0.13127868000010495,0.12758129999929224,0.1376589999999851,765.081672470996,762.2358516626365,726.4327069062743,783.8139288481522,71.0,68.6,50.0,79.0,4.5,4.2171875,3.56640625,4.7734375,3.129166603088379,3.431203079223633,2.9467954635620117,4.216658592224121,100.0,100.0,100.0,100.0
tcp_io,100,threads,200,threads-tcp-200,5,0.12359610000203247,0.12496170000013081,0.11378879999756464,0.13901480000276933,809.0870181045806,804.8874835497705,719.3478679824586,878.8211142233704,69.0,70.0,63.0,75.0,3.95703125,4.05078125,3.19921875,5.015625,3.0867605209350586,3.4090387344360353,2.9245567321777344,4.272971153259277,100.0,100.0,100.0,100.0
tcp_io,500,asyncio,,asyncio-tcp,5,0.5599894000006316,0.5571548199994141,0.5357360999987577,0.5678771999992023,892.8740436862485,897.7843723762951,880.4720457181629,933.2953295496783,0.0,0.0,0.0,0.0,5.8828125,5.91875,5.79296875,6.05859375,6.8008832931518555,6.8004655838012695,6.798537254333496,6.802499771118164,500.0,500.0,500.0,500.0
tcp_io,500,threads,50,threads-tcp-50,5,0.41468370000075083,0.4205229799998051,0.39507830000002286,0.4624678000000131,1205.7382530325997,1192.2139113888647,1081.1563529395687,1265.5719132130796,50.0,50.0,50.0,50.0,3.2109375,2.96875,0.9609375,4.0390625,3.6612606048583984,3.662124252319336,3.6595630645751953,3.665670394897461,500.0,500.0,500.0,500.0
tcp_io,500,threads,100,threads-tcp-100,5,0.35041549999732524,0.35077131999860284,0.3393796999989718,0.35940320000008796,1426.8775211251116,1426.0576375845644,1391.1951813447338,1473.2760975435917,100.0,99.8,99.0,100.0,8.37109375,8.2984375,7.38671875,9.51171875,6.312439918518066,6.553068923950195,6.199907302856445,7.225576400756836,500.0,500.0,500.0,500.0
tcp_io,500,threads,200,threads-tcp-200,5,0.3170868999986851,0.31158869999999295,0.279483700000128,0.331585100000666,1576.8547991168143,1610.4514724902178,1507.908527853018,1789.0130980796769,167.0,169.2,165.0,179.0,10.3125,10.3859375,8.7734375,11.91796875,6.417562484741211,7.145097732543945,6.053167343139648,8.498820304870605,500.0,500.0,500.0,500.0
tcp_io,1000,asyncio,,asyncio-tcp,5,1.0644001000000571,1.0631441000004997,1.0378649000012956,1.0842738000028476,939.49634164817,940.8382138282795,922.276273757951,963.5165424697874,0.0,0.0,0.0,0.0,6.03515625,5.63359375,4.0,6.06640625,6.805606842041016,6.806003570556641,6.799501419067383,6.813276290893555,1000.0,1000.0,1000.0,1000.0
tcp_io,1000,threads,50,threads-tcp-50,5,0.8808754999990924,0.8960675399990577,0.8422124999997322,0.9497727999987546,1135.2342073323987,1118.181429470696,1052.8833843223465,1187.348798551812,50.0,50.0,50.0,50.0,3.03515625,3.2765625,3.02734375,4.21875,3.664191246032715,3.670573425292969,3.6598949432373047,3.699557304382324,1000.0,1000.0,1000.0,1000.0
tcp_io,1000,threads,100,threads-tcp-100,5,0.5747289000028104,0.5781398400009493,0.5472403000021586,0.6146017999999458,1739.9507837436224,1732.2149285190942,1627.0697547584277,1827.3507999978353,100.0,99.2,96.0,100.0,8.5625,8.49296875,7.6328125,9.16015625,7.351617813110352,7.216616821289063,6.666841506958008,7.360957145690918,1000.0,1000.0,1000.0,1000.0
